,id,title,view,label,title_tokens,title_tokens_fdist,title_tokens_WSW,title_normalized,title_tokens_stemmed
10,10,vaksinasi remaja kota batu tuntas persen,5804,populer,"['vaksinasi', 'remaja', 'kota', 'batu', 'tuntas', 'persen']",<FreqDist with 6 samples and 6 outcomes>,"['vaksinasi', 'remaja', 'kota', 'batu', 'tuntas', 'persen']","['vaksinasi', 'remaja', 'kota', 'batu', 'tuntas', 'persen']","['vaksinasi', 'remaja', 'kota', 'batu', 'tuntas', 'persen']"
11,11,hujan terus begini cara petani di kota batu cegah hasil panen susut,790,populer,"['hujan', 'terus', 'begini', 'cara', 'petani', 'di', 'kota', 'batu', 'cegah', 'hasil', 'panen', 'susut']",<FreqDist with 12 samples and 12 outcomes>,"['hujan', 'petani', 'kota', 'batu', 'cegah', 'hasil', 'panen', 'susut']","['hujan', 'petani', 'kota', 'batu', 'cegah', 'hasil', 'panen', 'susut']","['hujan', 'tani', 'kota', 'batu', 'cegah', 'hasil', 'panen', 'susut']"
12,12,anjing bulldog lady gaga yang hilang akhirnya ketemu,3920,populer,"['anjing', 'bulldog', 'lady', 'gaga', 'yang', 'hilang', 'akhirnya', 'ketemu']",<FreqDist with 8 samples and 8 outcomes>,"['anjing', 'bulldog', 'lady', 'gaga', 'hilang', 'ketemu']","['anjing', 'bulldog', 'lady', 'gaga', 'hilang', 'ketemu']","['anjing', 'bulldog', 'lady', 'gaga', 'hilang', 'ketemu']"
13,13,akun tiktok bts kena hack penggemar langsung melakukan ini,10948,populer,"['akun', 'tiktok', 'bts', 'kena', 'hack', 'penggemar', 'langsung', 'melakukan', 'ini']",<FreqDist with 9 samples and 9 outcomes>,"['akun', 'tiktok', 'bts', 'kena', 'hack', 'penggemar', 'langsung']","['akun', 'tiktok', 'bts', 'kena', 'hack', 'penggemar', 'langsung']","['akun', 'tiktok', 'bts', 'kena', 'hack', 'gemar', 'langsung']"
14,14,viral pria pecahkan kaca mobil karena larangan mudik,2115,populer,"['viral', 'pria', 'pecahkan', 'kaca', 'mobil', 'karena', 'larangan', 'mudik']",<FreqDist with 8 samples and 8 outcomes>,"['viral', 'pria', 'pecahkan', 'kaca', 'mobil', 'larangan', 'mudik']","['viral', 'pria', 'pecahkan', 'kaca', 'mobil', 'larangan', 'mudik']","['viral', 'pria', 'pecah', 'kaca', 'mobil', 'larang', 'mudik']"
15,15,polresta malang bekuk predator anak pelakunya pelatih tari begini modusnya,5652,populer,"['polresta', 'malang', 'bekuk', 'predator', 'anak', 'pelakunya', 'pelatih', 'tari', 'begini', 'modusnya']",<FreqDist with 10 samples and 10 outcomes>,"['polresta', 'malang', 'bekuk', 'predator', 'anak', 'pelakunya', 'pelatih', 'tari', 'modusnya']","['polresta', 'malang', 'bekuk', 'predator', 'anak', 'pelakunya', 'pelatih', 'tari', 'modusnya']","['polresta', 'malang', 'bekuk', 'predator', 'anak', 'laku', 'latih', 'tari', 'modus']"
16,16,sebal dengar sirine pria bantul rusak mobil ambulans,722,populer,"['sebal', 'dengar', 'sirine', 'pria', 'bantul', 'rusak', 'mobil', 'ambulans']",<FreqDist with 8 samples and 8 outcomes>,"['sebal', 'dengar', 'sirine', 'pria', 'bantul', 'rusak', 'mobil', 'ambulans']","['sebal', 'dengar', 'sirine', 'pria', 'bantul', 'rusak', 'mobil', 'ambulans']","['sebal', 'dengar', 'sirine', 'pria', 'bantul', 'rusak', 'mobil', 'ambulans']"
17,17,di malang dahlan iskan ingatkan pengusaha agar waspadai tahun politik,2227,populer,"['di', 'malang', 'dahlan', 'iskan', 'ingatkan', 'pengusaha', 'agar', 'waspadai', 'tahun', 'politik']",<FreqDist with 10 samples and 10 outcomes>,"['malang', 'dahlan', 'iskan', 'ingatkan', 'pengusaha', 'waspadai', 'politik']","['malang', 'dahlan', 'iskan', 'ingatkan', 'pengusaha', 'waspadai', 'politik']","['malang', 'dahlan', 'iskan', 'ingat', 'usaha', 'waspada', 'politik']"
18,18,pulihkan ekonomi berbasis ecommerce kota malang diganjar prestasi,6682,populer,"['pulihkan', 'ekonomi', 'berbasis', 'ecommerce', 'kota', 'malang', 'diganjar', 'prestasi']",<FreqDist with 8 samples and 8 outcomes>,"['pulihkan', 'ekonomi', 'berbasis', 'ecommerce', 'kota', 'malang', 'diganjar', 'prestasi']","['pulihkan', 'ekonomi', 'berbasis', 'ecommerce', 'kota', 'malang', 'diganjar', 'prestasi']","['pulih', 'ekonomi', 'bas', 'ecommerce', 'kota', 'malang', 'ganjar', 'prestasi']"
19,19,ini tiga lahan senilai rp miliar,3653,populer,"['ini', 'tiga', 'lahan', 'senilai', 'rp', 'miliar']",<FreqDist with 6 samples and 6 outcomes>,"['lahan', 'senilai', 'rp', 'miliar']","['lahan', 'senilai', 'rp', 'miliar']","['lahan', 'nila', 'rp', 'miliar']"
20,20,gempa sr guncang malang raya tak berpotensi tsunami,2385,populer,"['gempa', 'sr', 'guncang', 'malang', 'raya', 'tak', 'berpotensi', 'tsunami']",<FreqDist with 8 samples and 8 outcomes>,"['gempa', 'sr', 'guncang', 'malang', 'raya', 'berpotensi', 'tsunami']","['gempa', 'sr', 'guncang', 'malang', 'raya', 'berpotensi', 'tsunami']","['gempa', 'sr', 'guncang', 'malang', 'raya', 'potensi', 'tsunami']"
21,21,komda kipi tangani kasus kebutaan warga malang usai vaksin ke,5001,populer,"['komda', 'kipi', 'tangani', 'kasus', 'kebutaan', 'warga', 'malang', 'usai', 'vaksin', 'ke']",<FreqDist with 10 samples and 10 outcomes>,"['komda', 'kipi', 'tangani', 'kebutaan', 'warga', 'malang', 'vaksin']","['komda', 'kipi', 'tangani', 'kebutaan', 'warga', 'malang', 'vaksin']","['komda', 'kipi', 'tangan', 'buta', 'warga', 'malang', 'vaksin']"
22,22,wisata air panas cangar kota batu bakal dilengkapi layanan vip,8844,populer,"['wisata', 'air', 'panas', 'cangar', 'kota', 'batu', 'bakal', 'dilengkapi', 'layanan', 'vip']",<FreqDist with 10 samples and 10 outcomes>,"['wisata', 'air', 'panas', 'cangar', 'kota', 'batu', 'dilengkapi', 'layanan', 'vip']","['wisata', 'air', 'panas', 'cangar', 'kota', 'batu', 'dilengkapi', 'layanan', 'vip']","['wisata', 'air', 'panas', 'cangar', 'kota', 'batu', 'lengkap', 'layan', 'vip']"
23,23,bulan janda lahir di malang raya,11499,populer,"['bulan', 'janda', 'lahir', 'di', 'malang', 'raya']",<FreqDist with 6 samples and 6 outcomes>,"['janda', 'lahir', 'malang', 'raya']","['janda', 'lahir', 'malang', 'raya']","['janda', 'lahir', 'malang', 'raya']"
24,24,selebrasi lomba mewarna mom and kidz malang sukses,11193,populer,"['selebrasi', 'lomba', 'mewarna', 'mom', 'and', 'kidz', 'malang', 'sukses']",<FreqDist with 8 samples and 8 outcomes>,"['selebrasi', 'lomba', 'mewarna', 'mom', 'and', 'kidz', 'malang', 'sukses']","['selebrasi', 'lomba', 'mewarna', 'mom', 'and', 'kidz', 'malang', 'sukses']","['selebrasi', 'lomba', 'warna', 'mom', 'and', 'kidz', 'malang', 'sukses']"
25,25,minimalisir penularan covid polres malang optimalkan drive thru,4655,populer,"['minimalisir', 'penularan', 'covid', 'polres', 'malang', 'optimalkan', 'drive', 'thru']",<FreqDist with 8 samples and 8 outcomes>,"['minimalisir', 'penularan', 'covid', 'polres', 'malang', 'optimalkan', 'drive', 'thru']","['minimalisir', 'penularan', 'covid', 'polres', 'malang', 'optimalkan', 'drive', 'thru']","['minimalisir', 'tular', 'covid', 'polres', 'malang', 'optimal', 'drive', 'thru']"
26,26,samsuga mfc pelajari tiga isu utama ini sebelum terjun di fashion,2554,populer,"['samsuga', 'mfc', 'pelajari', 'tiga', 'isu', 'utama', 'ini', 'sebelum', 'terjun', 'di', 'fashion']",<FreqDist with 11 samples and 11 outcomes>,"['samsuga', 'mfc', 'pelajari', 'isu', 'utama', 'terjun', 'fashion']","['samsuga', 'mfc', 'pelajari', 'isu', 'utama', 'terjun', 'fashion']","['samsuga', 'mfc', 'ajar', 'isu', 'utama', 'terjun', 'fashion']"
27,27,inspirasi busana yang bikin kamu auto jadi pusat perhatian,2627,populer,"['inspirasi', 'busana', 'yang', 'bikin', 'kamu', 'auto', 'jadi', 'pusat', 'perhatian']",<FreqDist with 9 samples and 9 outcomes>,"['inspirasi', 'busana', 'auto', 'pusat', 'perhatian']","['inspirasi', 'busana', 'auto', 'pusat', 'perhatian']","['inspirasi', 'busana', 'auto', 'pusat', 'perhati']"
28,28,pakar pandemi debat publik kurang efektif tarik calon pemilih,9068,populer,"['pakar', 'pandemi', 'debat', 'publik', 'kurang', 'efektif', 'tarik', 'calon', 'pemilih']",<FreqDist with 9 samples and 9 outcomes>,"['pakar', 'pandemi', 'debat', 'publik', 'efektif', 'tarik', 'calon', 'pemilih']","['pakar', 'pandemi', 'debat', 'publik', 'efektif', 'tarik', 'calon', 'pemilih']","['pakar', 'pandemi', 'debat', 'publik', 'efektif', 'tarik', 'calon', 'pilih']"
29,29,tiga pemda malang raya ikut genjot kepesertaan bpjs ketenagakerjaan,9252,populer,"['tiga', 'pemda', 'malang', 'raya', 'ikut', 'genjot', 'kepesertaan', 'bpjs', 'ketenagakerjaan']",<FreqDist with 9 samples and 9 outcomes>,"['pemda', 'malang', 'raya', 'genjot', 'kepesertaan', 'bpjs', 'ketenagakerjaan']","['pemda', 'malang', 'raya', 'genjot', 'kepesertaan', 'bpjs', 'ketenagakerjaan']","['pemda', 'malang', 'raya', 'genjot', 'serta', 'bpjs', 'ketenagakerjaan']"
30,30,lestarikan tradisi nyadran airlangga ziarah makam keluarga di astana oetara,1336,populer,"['lestarikan', 'tradisi', 'nyadran', 'airlangga', 'ziarah', 'makam', 'keluarga', 'di', 'astana', 'oetara']",<FreqDist with 10 samples and 10 outcomes>,"['lestarikan', 'tradisi', 'nyadran', 'airlangga', 'ziarah', 'makam', 'keluarga', 'astana', 'oetara']","['lestarikan', 'tradisi', 'nyadran', 'airlangga', 'ziarah', 'makam', 'keluarga', 'astana', 'oetara']","['lestari', 'tradisi', 'nyadran', 'airlangga', 'ziarah', 'makam', 'keluarga', 'astana', 'oetara']"
31,31,ulang tahun yeri red velvet donasi rp juta untuk bayi terlantar,3327,populer,"['ulang', 'tahun', 'yeri', 'red', 'velvet', 'donasi', 'rp', 'juta', 'untuk', 'bayi', 'terlantar']",<FreqDist with 11 samples and 11 outcomes>,"['ulang', 'yeri', 'red', 'velvet', 'donasi', 'rp', 'juta', 'bayi', 'terlantar']","['ulang', 'yeri', 'red', 'velvet', 'donasi', 'rp', 'juta', 'bayi', 'terlantar']","['ulang', 'yeri', 'red', 'velvet', 'donasi', 'rp', 'juta', 'bayi', 'lantar']"
32,32,pandemi sman kota malang ciptakan segudang inovasi,9784,populer,"['pandemi', 'sman', 'kota', 'malang', 'ciptakan', 'segudang', 'inovasi']",<FreqDist with 7 samples and 7 outcomes>,"['pandemi', 'sman', 'kota', 'malang', 'ciptakan', 'segudang', 'inovasi']","['pandemi', 'sman', 'kota', 'malang', 'ciptakan', 'segudang', 'inovasi']","['pandemi', 'sman', 'kota', 'malang', 'cipta', 'gudang', 'inovasi']"
33,33,marvel rilis trailer superhero asia shangchi,12598,populer,"['marvel', 'rilis', 'trailer', 'superhero', 'asia', 'shangchi']",<FreqDist with 6 samples and 6 outcomes>,"['marvel', 'rilis', 'trailer', 'superhero', 'asia', 'shangchi']","['marvel', 'rilis', 'trailer', 'superhero', 'asia', 'shangchi']","['marvel', 'rilis', 'trailer', 'superhero', 'asia', 'shangchi']"
34,34,prioritas pemkot malang demi menggapai zona kuning,9422,populer,"['prioritas', 'pemkot', 'malang', 'demi', 'menggapai', 'zona', 'kuning']",<FreqDist with 7 samples and 7 outcomes>,"['prioritas', 'pemkot', 'malang', 'menggapai', 'zona', 'kuning']","['prioritas', 'pemkot', 'malang', 'menggapai', 'zona', 'kuning']","['prioritas', 'pemkot', 'malang', 'gapai', 'zona', 'kuning']"
35,35,beredar di gwa razia siswa tidak bermasker ini jawaban pemkot malang,13577,populer,"['beredar', 'di', 'gwa', 'razia', 'siswa', 'tidak', 'bermasker', 'ini', 'jawaban', 'pemkot', 'malang']",<FreqDist with 11 samples and 11 outcomes>,"['beredar', 'gwa', 'razia', 'siswa', 'bermasker', 'pemkot', 'malang']","['beredar', 'gwa', 'razia', 'siswa', 'bermasker', 'pemkot', 'malang']","['edar', 'gwa', 'razia', 'siswa', 'masker', 'pemkot', 'malang']"
36,36,elektronifikasi transaksi pemda dukung perbaikan pengelolaan keuangan,8919,populer,"['elektronifikasi', 'transaksi', 'pemda', 'dukung', 'perbaikan', 'pengelolaan', 'keuangan']",<FreqDist with 7 samples and 7 outcomes>,"['elektronifikasi', 'transaksi', 'pemda', 'dukung', 'perbaikan', 'pengelolaan', 'keuangan']","['elektronifikasi', 'transaksi', 'pemda', 'dukung', 'perbaikan', 'pengelolaan', 'keuangan']","['elektronifikasi', 'transaksi', 'pemda', 'dukung', 'baik', 'kelola', 'uang']"
37,37,bank syariah indonesia bawa misi jadi pusat ekonomi syariah dunia,14900,populer,"['bank', 'syariah', 'indonesia', 'bawa', 'misi', 'jadi', 'pusat', 'ekonomi', 'syariah', 'dunia']",<FreqDist with 9 samples and 10 outcomes>,"['bank', 'syariah', 'indonesia', 'bawa', 'misi', 'pusat', 'ekonomi', 'syariah', 'dunia']","['bank', 'syariah', 'indonesia', 'bawa', 'misi', 'pusat', 'ekonomi', 'syariah', 'dunia']","['bank', 'syariah', 'indonesia', 'bawa', 'misi', 'pusat', 'ekonomi', 'syariah', 'dunia']"
38,38,nekat konvoi hut arema puluhan aremania dicegat polisi,8473,populer,"['nekat', 'konvoi', 'hut', 'arema', 'puluhan', 'aremania', 'dicegat', 'polisi']",<FreqDist with 8 samples and 8 outcomes>,"['nekat', 'konvoi', 'hut', 'arema', 'puluhan', 'aremania', 'dicegat', 'polisi']","['nekat', 'konvoi', 'hut', 'arema', 'puluhan', 'aremania', 'dicegat', 'polisi']","['nekat', 'konvoi', 'hut', 'arema', 'puluh', 'aremania', 'cegat', 'polisi']"
39,39,muslim malang raya demo solidaritas untuk palestina,3479,populer,"['muslim', 'malang', 'raya', 'demo', 'solidaritas', 'untuk', 'palestina']",<FreqDist with 7 samples and 7 outcomes>,"['muslim', 'malang', 'raya', 'demo', 'solidaritas', 'palestina']","['muslim', 'malang', 'raya', 'demo', 'solidaritas', 'palestina']","['muslim', 'malang', 'raya', 'demo', 'solidaritas', 'palestina']"
40,40,cek fakta jokowi pulang kampung saat larangan mudik,2029,populer,"['cek', 'fakta', 'jokowi', 'pulang', 'kampung', 'saat', 'larangan', 'mudik']",<FreqDist with 8 samples and 8 outcomes>,"['cek', 'fakta', 'jokowi', 'pulang', 'kampung', 'larangan', 'mudik']","['cek', 'fakta', 'jokowi', 'pulang', 'kampung', 'larangan', 'mudik']","['cek', 'fakta', 'jokowi', 'pulang', 'kampung', 'larang', 'mudik']"
41,41,ini daftar aturan baru ppdb kota malang,4307,populer,"['ini', 'daftar', 'aturan', 'baru', 'ppdb', 'kota', 'malang']",<FreqDist with 7 samples and 7 outcomes>,"['daftar', 'aturan', 'ppdb', 'kota', 'malang']","['daftar', 'aturan', 'ppdb', 'kota', 'malang']","['daftar', 'atur', 'ppdb', 'kota', 'malang']"
42,42,gedung runtuh timpa bus sembilan orang tewas,8228,populer,"['gedung', 'runtuh', 'timpa', 'bus', 'sembilan', 'orang', 'tewas']",<FreqDist with 7 samples and 7 outcomes>,"['gedung', 'runtuh', 'timpa', 'bus', 'sembilan', 'orang', 'tewas']","['gedung', 'runtuh', 'timpa', 'bus', 'sembilan', 'orang', 'tewas']","['gedung', 'runtuh', 'timpa', 'bus', 'sembilan', 'orang', 'tewas']"
43,43,digitalisasi dan sertifikasi halal jadi kunci pengembangan umkm,6879,populer,"['digitalisasi', 'dan', 'sertifikasi', 'halal', 'jadi', 'kunci', 'pengembangan', 'umkm']",<FreqDist with 8 samples and 8 outcomes>,"['digitalisasi', 'sertifikasi', 'halal', 'kunci', 'pengembangan', 'umkm']","['digitalisasi', 'sertifikasi', 'halal', 'kunci', 'pengembangan', 'umkm']","['digitalisasi', 'sertifikasi', 'halal', 'kunci', 'kembang', 'umkm']"
44,44,tim pemantau pilkada independen temukan baliho nakal,10578,populer,"['tim', 'pemantau', 'pilkada', 'independen', 'temukan', 'baliho', 'nakal']",<FreqDist with 7 samples and 7 outcomes>,"['tim', 'pemantau', 'pilkada', 'independen', 'temukan', 'baliho', 'nakal']","['tim', 'pemantau', 'pilkada', 'independen', 'temukan', 'baliho', 'nakal']","['tim', 'pantau', 'pilkada', 'independen', 'temu', 'baliho', 'nakal']"
45,45,tren covid melonjak polinema tetapkan sistem perkuliahan hybrid,8260,populer,"['tren', 'covid', 'melonjak', 'polinema', 'tetapkan', 'sistem', 'perkuliahan', 'hybrid']",<FreqDist with 8 samples and 8 outcomes>,"['tren', 'covid', 'melonjak', 'polinema', 'tetapkan', 'sistem', 'perkuliahan', 'hybrid']","['tren', 'covid', 'melonjak', 'polinema', 'tetapkan', 'sistem', 'perkuliahan', 'hybrid']","['tren', 'covid', 'lonjak', 'polinema', 'tetap', 'sistem', 'kuliah', 'hybrid']"
46,46,catat mulai besok polresta malang kota gelar operasi zebra,4453,populer,"['catat', 'mulai', 'besok', 'polresta', 'malang', 'kota', 'gelar', 'operasi', 'zebra']",<FreqDist with 9 samples and 9 outcomes>,"['catat', 'besok', 'polresta', 'malang', 'kota', 'gelar', 'operasi', 'zebra']","['catat', 'besok', 'polresta', 'malang', 'kota', 'gelar', 'operasi', 'zebra']","['catat', 'besok', 'polresta', 'malang', 'kota', 'gelar', 'operasi', 'zebra']"
47,47,liga tertunda lagi arema harapkan ada kejelasan subsidi,11490,populer,"['liga', 'tertunda', 'lagi', 'arema', 'harapkan', 'ada', 'kejelasan', 'subsidi']",<FreqDist with 8 samples and 8 outcomes>,"['liga', 'tertunda', 'arema', 'harapkan', 'kejelasan', 'subsidi']","['liga', 'tertunda', 'arema', 'harapkan', 'kejelasan', 'subsidi']","['liga', 'tunda', 'arema', 'harap', 'jelas', 'subsidi']"
48,48,young and movement bangkitkan ikm milenial kota malang,1607,populer,"['young', 'and', 'movement', 'bangkitkan', 'ikm', 'milenial', 'kota', 'malang']",<FreqDist with 8 samples and 8 outcomes>,"['young', 'and', 'movement', 'bangkitkan', 'ikm', 'milenial', 'kota', 'malang']","['young', 'and', 'movement', 'bangkitkan', 'ikm', 'milenial', 'kota', 'malang']","['young', 'and', 'movement', 'bangkit', 'ikm', 'milenial', 'kota', 'malang']"
49,49,dari sumber air biasa torong park jadi tempat wisata,7472,populer,"['dari', 'sumber', 'air', 'biasa', 'torong', 'park', 'jadi', 'tempat', 'wisata']",<FreqDist with 9 samples and 9 outcomes>,"['sumber', 'air', 'torong', 'park', 'wisata']","['sumber', 'air', 'torong', 'park', 'wisata']","['sumber', 'air', 'torong', 'park', 'wisata']"
50,50,musda ppni bahas kesejahteraan perawat,8238,populer,"['musda', 'ppni', 'bahas', 'kesejahteraan', 'perawat']",<FreqDist with 5 samples and 5 outcomes>,"['musda', 'ppni', 'bahas', 'kesejahteraan', 'perawat']","['musda', 'ppni', 'bahas', 'kesejahteraan', 'perawat']","['musda', 'ppni', 'bahas', 'sejahtera', 'awat']"
51,51,mtsn malang resmikan gedung ma had baru,7044,populer,"['mtsn', 'malang', 'resmikan', 'gedung', 'ma', 'had', 'baru']",<FreqDist with 7 samples and 7 outcomes>,"['mtsn', 'malang', 'resmikan', 'gedung', 'ma', 'had']","['mtsn', 'malang', 'resmikan', 'gedung', 'ma', 'had']","['mtsn', 'malang', 'resmi', 'gedung', 'ma', 'had']"
52,52,ibu hamil boleh puasa tidak ini jawabannya,8695,populer,"['ibu', 'hamil', 'boleh', 'puasa', 'tidak', 'ini', 'jawabannya']",<FreqDist with 7 samples and 7 outcomes>,"['hamil', 'puasa', 'jawabannya']","['hamil', 'puasa', 'jawabannya']","['hamil', 'puasa', 'jawab']"
53,53,perayaan tahun baru masyarakat jepang,10933,populer,"['perayaan', 'tahun', 'baru', 'masyarakat', 'jepang']",<FreqDist with 5 samples and 5 outcomes>,"['perayaan', 'masyarakat', 'jepang']","['perayaan', 'masyarakat', 'jepang']","['raya', 'masyarakat', 'jepang']"
54,54,pemkot malang usulkan tambahan kuota guru pppk,3368,populer,"['pemkot', 'malang', 'usulkan', 'tambahan', 'kuota', 'guru', 'pppk']",<FreqDist with 7 samples and 7 outcomes>,"['pemkot', 'malang', 'usulkan', 'tambahan', 'kuota', 'guru', 'pppk']","['pemkot', 'malang', 'usulkan', 'tambahan', 'kuota', 'guru', 'pppk']","['pemkot', 'malang', 'usul', 'tambah', 'kuota', 'guru', 'pppk']"
55,55,bri peduli bantu kelola sampah terpadu dan edukasi lingkungan bersih,2150,populer,"['bri', 'peduli', 'bantu', 'kelola', 'sampah', 'terpadu', 'dan', 'edukasi', 'lingkungan', 'bersih']",<FreqDist with 10 samples and 10 outcomes>,"['bri', 'peduli', 'bantu', 'kelola', 'sampah', 'terpadu', 'edukasi', 'lingkungan', 'bersih']","['bri', 'peduli', 'bantu', 'kelola', 'sampah', 'terpadu', 'edukasi', 'lingkungan', 'bersih']","['bri', 'peduli', 'bantu', 'kelola', 'sampah', 'padu', 'edukasi', 'lingkung', 'bersih']"
56,56,pemanasan jelang hut ke bri gelar sayembara desain logo,13784,populer,"['pemanasan', 'jelang', 'hut', 'ke', 'bri', 'gelar', 'sayembara', 'desain', 'logo']",<FreqDist with 9 samples and 9 outcomes>,"['pemanasan', 'jelang', 'hut', 'bri', 'gelar', 'sayembara', 'desain', 'logo']","['pemanasan', 'jelang', 'hut', 'bri', 'gelar', 'sayembara', 'desain', 'logo']","['panas', 'jelang', 'hut', 'bri', 'gelar', 'sayembara', 'desain', 'logo']"
57,57,covid update,13916,populer,"['covid', 'update']",<FreqDist with 2 samples and 2 outcomes>,"['covid', 'update']","['covid', 'update']","['covid', 'update']"
58,58,duh saluran drainase pun jadi sarang bangunan liar,10431,populer,"['duh', 'saluran', 'drainase', 'pun', 'jadi', 'sarang', 'bangunan', 'liar']",<FreqDist with 8 samples and 8 outcomes>,"['duh', 'saluran', 'drainase', 'sarang', 'bangunan', 'liar']","['duh', 'saluran', 'drainase', 'sarang', 'bangunan', 'liar']","['duh', 'salur', 'drainase', 'sarang', 'bangun', 'liar']"
59,59,paslon independen bakal laporkan komisioner kpu ke dkpp,13235,populer,"['paslon', 'independen', 'bakal', 'laporkan', 'komisioner', 'kpu', 'ke', 'dkpp']",<FreqDist with 8 samples and 8 outcomes>,"['paslon', 'independen', 'laporkan', 'komisioner', 'kpu', 'dkpp']","['paslon', 'independen', 'laporkan', 'komisioner', 'kpu', 'dkpp']","['paslon', 'independen', 'lapor', 'komisioner', 'kpu', 'dkpp']"
